	No. of TB cases			TB incidence		
U.S. jurisdiction	2019	2020	2021	2019	2020	2021
Total	"8,900"	"7,173"	"7,860"	2.71	2.16	2.37
Alabama	87	72	92	1.77	1.43	1.83
Alaska	58	58	58	7.91	7.92	7.92
Arizona	183	136	129	2.51	1.89	1.77
Arkansas	64	59	69	2.12	1.96	2.28
California	"2,111"	"1,706"	"1,750"	5.35	4.32	4.46
Colorado	66	52	58	1.15	0.9	1
Connecticut	67	54	54	1.88	1.5	1.5
Delaware	18	17	43	1.84	1.71	4.29
District of Columbia	24	19	19	3.39	2.75	2.84
Florida	558	412	499	2.6	1.91	2.29
Georgia	302	221	228	2.84	2.06	2.11
Hawaii	99	92	106	6.99	6.34	7.35
Idaho	7	8	4	0.39	0.43	0.21
Illinois	326	216	255	2.57	1.69	2.01
Indiana	108	92	127	1.6	1.36	1.87
Iowa	52	39	49	1.65	1.22	1.53
Kansas	37	37	43	1.27	1.26	1.47
Kentucky	66	67	57	1.48	1.49	1.26
Louisiana	88	99	86	1.89	2.13	1.86
Maine	18	17	14	1.34	1.25	1.02
Maryland	209	148	192	3.45	2.4	3.11
Massachusetts	178	142	151	2.58	2.02	2.16
Michigan	131	101	136	1.31	1	1.35
Minnesota	148	117	134	2.62	2.05	2.35
Mississippi	58	41	45	1.95	1.39	1.53
Missouri	70	79	77	1.14	1.28	1.25
Montana	2	4	3	0.19	0.37	0.27
Nebraska	17	33	22	0.88	1.68	1.12
Nevada	53	57	61	1.71	1.83	1.94
New Hampshire	6	12	12	0.44	0.87	0.86
New Jersey	310	245	279	3.49	2.64	3.01
New Mexico	41	29	24	1.95	1.37	1.13
New York	746	605	681	3.83	3	3.43
North Carolina	185	159	178	1.76	1.52	1.69
North Dakota	18	10	15	2.36	1.28	1.94
Ohio	150	130	149	1.28	1.1	1.26
Oklahoma	73	67	69	1.84	1.69	1.73
Oregon	70	67	78	1.66	1.58	1.84
Pennsylvania	199	156	166	1.55	1.2	1.28
Rhode Island	14	7	17	1.32	0.64	1.55
South Carolina	80	67	88	1.55	1.31	1.7
South Dakota	16	16	12	1.8	1.8	1.34
Tennessee	129	113	85	1.89	1.63	1.22
Texas	"1,154"	883	991	3.98	3.02	3.36
Utah	27	29	17	0.84	0.88	0.51
Vermont	4	3	2	0.64	0.47	0.31
Virginia	191	169	161	2.23	1.96	1.86
Washington	221	163	199	2.9	2.11	2.57
West Virginia	9	13	7	0.5	0.73	0.39
Wisconsin	51	35	66	0.88	0.59	1.12
Wyoming	1	0	3	0.17	0	0.52
